,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,beta,f_cross_layer,m_cross_layer
4207,4207,20.91957717076496,0.00015261087116208674,2.7248643496151224,0.5793330469920029,1.3464817138750735,0.03882291780689086,1.9328396093534659,0.1889313414184816,0.4845307196220982,0.028287045917106346,0.6810703963100698
2270,2270,20.925879169157884,0.000577449761092629,8.85616210446555,0.43177903762305014,1.7935440908822788,0.08613665883942101,9.340596941215688,0.3822527607612914,0.4624759514238184,0.017503542350196407,0.7410362844964731
4025,4025,20.935576056486624,0.0005513307512078084,7.680701624525189,0.5391174014035701,1.757953947016197,0.08083151299428032,8.756194714763108,0.30975577043949326,0.4999943222045425,0.015903801821790044,0.7339843297584492
1827,1827,20.942260178288723,0.0010359361736610555,6.311797965602203,0.5604505142754943,1.5183508539208068,0.032595894812088695,9.176031149765798,0.24542281910845568,0.47273847472185676,0.05931387953847295,0.5916785912059624
1850,1850,20.996887423075666,1.9492062851652345e-05,6.353326117810359,0.5372030317122466,1.3451867478201347,0.021000252508527953,9.118161246813209,0.25660884689986635,0.4855267831680909,4.295784091897653e-05,0.699434364273008
3829,3829,21.00936590784844,0.0006283792152254942,11.885542138236946,0.5756241004456122,1.3614685382447331,0.10036759845244853,8.732031508107132,0.5190547220959071,0.4546260110791305,0.07180795486686226,0.7336924730961014
2472,2472,21.01000085666241,0.0005128817948864986,5.6078519893973136,0.575105865829879,1.9322152792785752,0.09052395562161598,9.6590153157487,0.23020570956338945,0.45703120805185604,0.00030999469817832533,0.6955813307179658
2058,2058,21.012830004568038,0.0003556092683951056,6.149133364052581,0.5315440972779734,1.0009690229443873,0.03356320247921655,9.074036898057033,0.24240967100390795,0.49983861702518884,0.035743904295388616,0.7150939556514054
1682,1682,21.013175959208038,0.00048102694339191153,6.748021497262554,0.5330774054034246,1.3367381192082313,0.04754288026793819,8.47887566934047,0.2715321495691666,0.4986893443271375,0.03490807088306266,0.659361353517422
3758,3758,21.01602088844493,0.0003328442512760803,6.007180908448229,0.1270734625351408,1.364636268136958,0.033439439004808835,9.584251960051525,0.25534301792298214,0.21893404626137167,0.0636468201955991,0.7811934116311604
3170,3170,21.01722580915278,0.00013037528295985093,6.269971722288013,0.5683303757628231,1.4913188960853108,0.040236889954506805,8.185714606747538,0.3190343185302153,0.4997686872343144,0.018742615797773136,0.7413625175626193
2206,2206,21.03325916325518,0.0003370361367227543,8.37079887419286,0.477444453325909,1.4950561768677384,0.05455319047292035,9.430849136480743,0.3050065182686416,0.46215337142986307,0.018279203356729334,0.7080245603089911
4975,4975,21.07557325722696,0.0005809482090115764,2.633717463523256,0.5507446093154623,1.7808224724509405,0.06503265459458192,7.899356499293643,0.18755687957240402,0.48521514279118794,0.048548005560426655,0.6739209582805945
2454,2454,21.077530673454838,0.0002994062149408778,6.037795898933938,0.5396380003903334,1.5439125385781023,0.058549915001570724,9.240869272288169,0.26572139523848204,0.48952404560428997,0.0161034048915295,0.6856340537083337
2588,2588,21.084357371550805,0.00013529449281216824,2.905632390015097,0.570270811796119,1.4097264170310593,0.038977573256378545,7.73173554162285,0.3066489790120959,0.4784198813546946,0.03330974984411584,0.7644818669755182
3795,3795,21.092470163040048,0.00029641800382008526,6.746789830915155,0.47848963469743483,1.9919558811443183,0.08878334031160567,7.375341642031595,0.2640098237827664,0.4998179072807545,0.018081618080081435,0.6723483691374788
2257,2257,21.09647278278508,0.0008458620368404796,8.507931957217586,0.460477566354019,1.352876761733243,0.0663486648839231,9.27954675464964,0.35105848384153115,0.48096960795426713,0.033429445036951055,0.7179421163558558
2217,2217,21.109316071539023,5.483180773057613e-05,8.59837458396942,0.4641529175345702,1.843446229672993,0.07853796321390313,9.165034134857908,0.27221620898993537,0.4628289209895913,0.018116420808480138,0.7052658149465764
1655,1655,21.117591847529994,0.0010542772802215172,7.279951088326315,0.5110396382388224,1.0392396954261218,0.04195551550518173,8.481562138314269,0.21148808520321302,0.49974917086219056,0.04810739047192703,0.6359781801207394
3800,3800,21.147256958055838,0.00039812826194730313,5.918629950639733,0.5598649516353782,1.3955200936678074,0.04494155763019157,8.897123065833725,0.1911789695636487,0.46070401820260376,0.017947964216046598,0.6720325572956192
4582,4582,21.15192776162744,0.0004965086958799753,7.242352721580892,0.527857129395182,1.2207907089695411,0.00019023306432645534,8.159234559689475,0.10850696654552007,0.44826843209238615,0.016930254548609393,0.8093608824588268
2690,2690,21.203423815281294,0.00010680439856767046,2.9372998219995377,0.46905276423306685,1.5630764117501075,0.0839511711296688,8.348504285614101,0.23777593237927142,0.4836131044247323,0.016421284221431173,0.7281213829759661
2349,2349,21.20394694232679,0.0003927590707625082,8.13450611762104,0.46832599405705927,1.4037707395992756,0.07832381745054484,9.87722203903068,0.32888058601839504,0.49051890531428655,0.019126492200933598,0.6891567686658439
2450,2450,21.20787028280678,2.2229161404564322e-05,7.0656887150124925,0.4940942280651672,1.4337254204121195,0.05291215240401144,9.285502330053145,0.2675858712679535,0.48514204080227247,0.046288237871540946,0.6864142102243022
4980,4980,21.219068127747004,0.0003440190511316873,7.9382331247790585,0.5520453746347482,1.4758548762840644,0.04590016679130799,7.815329150557276,0.21944909725749834,0.46401168614216337,0.052292162955665106,0.7224804838511444
2317,2317,21.21922059338131,2.949412842850668e-05,8.124367203135805,0.3795589720813307,1.6250535525206895,0.06275270446152441,9.064733445441913,0.30861762004622095,0.4563017607893616,0.02992458306885569,0.6656002602057415
3436,3436,21.226555909641924,0.00018229335820738849,6.4359807313681525,0.5636823069281458,1.7650065253185034,0.09825543903809383,8.267427131269045,0.21431131973464299,0.4683492929743938,0.031708693670076074,0.7729039543857831
1035,1035,21.227899831897346,0.0004385011412914113,1.5843140943480682,0.5923450758193725,1.8196720960824668,0.06243105245157521,10.185528389422107,0.25108398820945305,0.43887436981036587,0.054455981387371205,0.5649320438914591
4241,4241,21.236659210181774,0.00015754628184286794,2.4607044878568316,0.6828881765713815,1.3368285421184039,0.043761373225545755,8.739128061322173,0.15297641385989008,0.4914468525370231,0.01912244774487361,0.7226376449780517
3897,3897,21.24257405588753,7.814131597234746e-05,8.860082019739428,0.6022331602880838,2.1913453846887414,0.06673261634449944,7.8437022527362705,0.45515833583079995,0.44067014160723783,0.03341096574346328,0.7319879081341152
1640,1640,21.275455028682728,0.0005780811867268514,6.8717662414536225,0.524656742621381,1.0876680315503735,0.022195360130041236,8.161910997997317,0.22540404086037708,0.49318533739016834,0.040775197522436565,0.6758702134812256
2504,2504,21.294487907915222,1.7750814560131664e-05,7.906772558304398,0.5079172182689149,1.6534635996683806,0.07495840666435422,9.154135580064114,0.3105521827509783,0.4816828259677351,0.0588065622027715,0.5131552632814018
4512,4512,21.296522941611364,0.00024304192086539717,8.067016749803734,0.5041637099777396,2.0492184645734586,0.0001055288523866762,9.299131490965458,0.1997766257024128,0.49163378580243405,0.00014914268462137977,0.6840853904270148
4686,4686,21.310043059085988,0.00020695734171594375,2.581861363742581,0.5821269941091296,1.3651776633575736,0.06259445739645142,8.118954510800679,0.2229843164308014,0.4585144836358387,0.030459550548373848,0.7750825194959916
3771,3771,21.315540527517847,0.0003185962878442072,5.6655823956746625,0.4294827155960095,1.6504928708043967,0.20685590408036753,8.466809355808051,0.2682488593468172,0.4830069671833408,0.00020543915544721293,0.6593503379246235
2750,2750,21.324305040350833,0.0009552817130112944,2.8218322752571847,0.5877947722979776,3.1474174512109805,0.06229160776671125,7.950504928609665,0.2990608063953345,0.4814478189921345,0.03250034819798095,0.6747923978306554
2076,2076,21.326835829011493,0.0005939641579674529,8.006692155664792,0.518814902250176,1.2354698443113292,0.014957042731138473,9.482842154745637,0.3125333744423249,0.49910731529240426,0.05968996484914723,0.6881575310865703
